AccSpeciesID	AccSpeciesName	ObsNum	ObsGRNum	MeasNum	MeasGRNum	TraitNum
73175	Abuta sp	18	11	58	45	18
200110	Abuta spicata	4		6		1
97	Abuta velutina	21	1	28	4	7
102403	Abutilion megapotanica	1		24		20
98	Abutilon abutiloides	29		50		13
200113	Abutilon affine	4		6		3
402800	Abutilon alii	2		2		1
271174	Abutilon amplum	1		1		1
200115	Abutilon andrieuxii	11		13		2
200116	Abutilon anglosomaliae	7		13		10
99	Abutilon angulatum	71	1	103	7	33
200117	Abutilon angulatum var. angulatum	11		23		4
402801	Abutilon angulosum	1		1		1
271175	Abutilon anodoides	2		2		2
271176	Abutilon appendiculatum	2		2		2
271177	Abutilon arequipense	2		2		2
65065	Abutilon auritum	17		29		8
100	Abutilon austroafricanum	23		28		12
200119	Abutilon berlandieri	5		7		3
102	Abutilon bidentatum	42		60		27
402802	Abutilon bivalve	33		59		12
271180	Abutilon bracteosum	1		1		1
271182	Abutilon burandtii	1		1		1
271183	Abutilon bussei	1		1		1
271184	Abutilon californicum	3		3		3
59307	Abutilon canariense	8		6		6
271185	Abutilon carinatum	2		2		2
271186	Abutilon commutatum	1		1		1
103	Abutilon cryptopetalum	17	3	52	32	31
402803	Abutilon densiflorum	137	5	184	20	50
271189	Abutilon dinteri	5		6		5
271190	Abutilon diocium	1		1		1
271191	Abutilon dioicum	1		1		1
200121	Abutilon dispermum	6		8		3
200122	Abutilon divaricatum	6		8		2
65066	Abutilon dugesii	15		27		8
105	Abutilon englerianum	39		44		26
106	Abutilon eremitopetalum	12		14		8
271192	Abutilon flanaganii	4		4		3
107	Abutilon fraseri	43	11	141	90	46
402804	Abutilon fraseri subsp. fraseri	1	1	8	8	8
108	Abutilon fruticosum	61		77		34
271194	Abutilon fuscicalyx	3		3		3
271195	Abutilon galpinii	4		4		3
271196	Abutilon gebauerianum	2		2		2
271197	Abutilon geranioides	1		1		1
402805	Abutilon ghafoorianum	2		2		1
200125	Abutilon giganteum	4		6		2
109	Abutilon glabriflorum	16		23		11
271198	Abutilon grandidentatum	1		1		1
110	Abutilon grandiflorum	24		60		29
200126	Abutilon grandifolium	90		119		13
111	Abutilon grantii	15		19		10
113	Abutilon guineense	20		33		12
200127	Abutilon haenkeanum	3		5		2
271199	Abutilon halophilum	3		3		2
73176	Abutilon hannii	6		7		4
200128	Abutilon herzogianum	7		9		3
271200	Abutilon hirsutum	2		2		2
114	Abutilon hirtum	33		52		14
271201	Abutilon hulseanum	4		4		2
402806	Abutilon hybridum_x	1	1	3	3	2
200129	Abutilon hypoleucum	7		9		3
200130	Abutilon ibarrense	23		25		2
200131	Abutilon inaequilaterum	3		18		8
115	Abutilon incanum	46	20	200	155	24
116	Abutilon indicum	36	5	95	35	30
271202	Abutilon insigne	2		2		2
271203	Abutilon itatiaiae	2		2		2
271204	Abutilon jujuyense	4		4		3
402807	Abutilon julianae	1		2		2
402808	Abutilon karachianum	2		2		1
117	Abutilon lauraster	13		19		12
271205	Abutilon leonardii	1		1		1
65067	Abutilon lepidum	12		18		8
65068	Abutilon leucopetalum	16		27		9
118	Abutilon longicuspe	47	1	62	4	32
271206	Abutilon macrocarpum	2		2		2
271207	Abutilon macrum	4		4		2
200133	Abutilon macvaughii	4		7		4
271208	Abutilon malachroides	2		2		2
271209	Abutilon malacum	3		3		2
402809	Abutilon malvaefolium	2		2		1
402810	Abutilon malvifolium	2		4		2
119	Abutilon matopense	10		15		8
120	Abutilon mauritianum	40		51		28
121	Abutilon menziesii	12		14		8
73178	Abutilon micropetalum	2		2		2
271210	Abutilon minarum	2		2		2
200135	Abutilon mitchellii	9		9		8
402811	Abutilon mollicomum	3		3		1
124	Abutilon mollissimum	58		63		29
200136	Abutilon multiflorum	6		8		3
402812	Abutilon neelgherrense	2		2		1
271211	Abutilon nigricans	2		2		2
127	Abutilon oxycarpum	78		82		17
402813	Abutilon pakistanicum	2		2		1
101708	Abutilon palmeri	7	1	32	23	23
271213	Abutilon paniculatum	2		2		2
128	Abutilon pannosum	100		122		45
271214	Abutilon parishii	3		3		2
129	Abutilon parvulum	9		16		8
271215	Abutilon pedrae-brancae	2		2		2
271216	Abutilon pedunculare	8		8		3
271217	Abutilon peltatum	1		1		1
271218	Abutilon percaudatum	1		1		1
271219	Abutilon permolle	13		13		2
402814	Abutilon persicum	2		2		1
271221	Abutilon pilosocinereum	4		4		3
402815	Abutilon pitcairnense	1		2		2
271222	Abutilon piurense	2		2		2
271223	Abutilon pritzelianum	2		3		3
65069	Abutilon pseudocleistogamum	18		32		9
200139	Abutilon pubistamineum	4		6		3
130	Abutilon pycnodon	43		54		26
271224	Abutilon pyramidale	1		1		1
200141	Abutilon ramiflorum	16		31		8
131	Abutilon ramosum	52		67		29
271225	Abutilon rauciflorum	2		2		1
132	Abutilon reflexum	19		21		8
133	Abutilon rehmannii	16		22		12
271226	Abutilon reventum	3		3		2
271227	Abutilon sachetianum	1		1		1
134	Abutilon sandwicense	14		16		8
402816	Abutilon sepalum	2		2		1
73179	Abutilon sinense	3		3		3
136	Abutilon sonneratianum	46		59		28
137	Abutilon sp	22	18	71	54	16
200143	Abutilon sphaerostaminum	4		6		2
271229	Abutilon stenopetalum	2		2		2
200144	Abutilon terminale	4		6		3
139	Abutilon theophrasti	447	23	1353	152	125
200145	Abutilon thyrsodendron	4		6		2
141	Abutilon trisulcatum	47		82		14
271230	Abutilon tubulosum	3		3		2
200147	Abutilon umbelliflorum	8		17		8
271234	Abutilon viscosum	59		72		13
271236	Abutilon wrightii	3		3		2
271237	Abutilon xanti	3		5		3
271238	Acacia abbreviata	7		16		8
271239	Acacia abrupta	4		10		6
271240	Acacia acanthaster	4		7		3
144	Acacia acanthoclada	17		32		17
271241	Acacia acellerata	4		7		3
148	Acacia acinacea	44		78		25
271242	Acacia aciphylla	5		8		4
271243	Acacia acoma	4		7		3
149	Acacia acradenia	30	1	59	7	19
65070	Acacia acrionastes	72		85		13
271244	Acacia acuaria	5	1	40	33	27
150	Acacia aculeatissima	17		33		18
73183	Acacia aculeiformis	6	1	28	10	16
151	Acacia acuminata	109	2	182	33	67
271245	Acacia acutata	4		7		3
271246	Acacia adenogonia	4		7		3
271247	Acacia adenophora	1		3		1
65072	Acacia adhaerens	7		10		5
271248	Acacia adinophylla	4		7		3
271249	Acacia adnata	4		7		3
65073	Acacia adoxa	11		18		8
200150	Acacia adoxa var. adoxa	7		8		2
154	Acacia adsurgens	32	1	63	7	19
155	Acacia adunca	49		96		17
271250	Acacia aemula	5		8		3
65074	Acacia aestivalis	34		57		12
156	Acacia alata	20		34		14
402817	Acacia alata var. alata	1		2		2
402818	Acacia alata var. platyptera	9		14		3
402819	Acacia alata var. tetrantha	1	1	31	31	25
271251	Acacia alaticaulis	3		3		2
65075	Acacia alcockii	16		29		10
271252	Acacia alexandri	4		7		3
159	Acacia alleniana	58	3	116	16	25
160	Acacia allenii	20		31		11
271253	Acacia alpina	8		15		6
271254	Acacia amambayensis	1		1		1
402820	Acacia amanda	4		8		5
65076	Acacia amblygona	70		82		12
73185	Acacia amblyophylla	7		11		6
200151	Acacia amentacea	4	1	11	6	6
402821	Acacia amentifera	3		9		6
163	Acacia ammobia	32	1	55	7	17
271255	Acacia ammophila	5		8		3
73186	Acacia ampliata	7		11		6
165	Acacia ampliceps	28		72		23
271256	Acacia amputata	5		7		3
271257	Acacia amyctica	4		10		7
402822	Acacia anarthos	5		7		3
271259	Acacia anasilla	4		7		3
271260	Acacia anastema	5		8		4
402823	Acacia anaticeps	5		8		4
65077	Acacia anceps	26		44		13
167	Acacia ancistrocarpa	24		42		14
271261	Acacia ancistrophylla	4		7		3
271262	Acacia andrewsii	6		9		5
169	Acacia aneura	584	77	2891	567	153
402824	Acacia aneura var. major	6		6		1
402825	Acacia aneura var. pilbarana	6		6		1
402826	Acacia aneura var. tenuis	1	1	8	8	8
170	Acacia anfractuosa	22		36		13
73187	Acacia angusta	7		10		5
171	Acacia angustissima	7		7		1
271268	Acacia anomala	5		8		3
65078	Acacia anthochaera	16		26		10
271269	Acacia aphanoclada	4		7		3
65079	Acacia aphylla	17		27		9
271270	Acacia applanata	5		8		3
73188	Acacia aprepta	10		14		7
65080	Acacia aprica	24		45		10
271271	Acacia aptaneura	25	23	137	134	21
73189	Acacia arafurica	8		12		7
271272	Acacia araneosa	6		10		5
402827	Acacia arbiana	3		10		7
271273	Acacia arcuatilis	4		7		3
271274	Acacia argutifolia	4		7		3
73190	Acacia argyraea	7		10		5
271275	Acacia argyrodendron	6		10		4
174	Acacia argyrophylla	22		35		13
402828	Acacia argyrotricha	3		7		3
271276	Acacia arida	7		14		6
271277	Acacia aristulata	4		7		3
271278	Acacia armillata	5		8		3
73191	Acacia armitii	7		9		5
271279	Acacia arnhemica	2		2		2
73192	Acacia arrecta	7		11		6
200155	Acacia articulata	5		7		2
177	Acacia ascendens	17		29		11
65082	Acacia asepala	14		25		10
271280	Acacia ashbyae	4		7		3
271281	Acacia asparagoides	6		9		5
178	Acacia aspera	25		44		13
402829	Acacia aspera subsp. parviceps	1		2		2
271282	Acacia asperulacea	4		6		3
