"Site","Plot_number","Treatment","Tree_number","Species","Height_year_1","Height_year_2","Height_year_3","BA_year_3","DBH_year_3","Mortality_year_1","Mortality_year_2","WD","WD_source"
"LLFS",2,"M1",17,"Inga edulis",NA,291,702,199.687314375,15.9452119849255,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",18,"Inga edulis",NA,285,670,131.389147775,12.9340580907997,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",19,"Inga edulis",NA,177,650,80.259770525,10.1089026943482,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",20,"Inga edulis",NA,202,500,66.892305075,9.22875549898136,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",21,"Inga edulis",NA,93,410,61.37096065,8.83967951896253,1,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",22,"Inga edulis",NA,228,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",23,"Inga edulis",NA,312,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",24,"Inga edulis",NA,244,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",25,"Inga edulis",NA,11,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",26,"Inga edulis",NA,216,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",27,"Inga edulis",NA,28,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",28,"Inga edulis",NA,118,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",29,"Inga edulis",NA,12,475,42.52142065,7.35798574814455,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",30,"Inga edulis",NA,193,590,79.725700225,10.0752128641618,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",31,"Inga edulis",NA,113,455,23.381283575,5.4561868419581,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",32,"Inga edulis",NA,238,590,78.956010675,10.0264607457438,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
