rowID,accepted_bin,family,spp,where,LAT,LON,nFix,dispersal,Fruit type,Selection,Bark thickness,Conduit diameter,Crown diameter,Crown height,Leaf area,Leaf density,Leaf K,Leaf N,Leaf P,Leaf thickness,Leaf Vcmax,Root depth,Seed dry mass,Specific leaf area,Stem diameter,Stomatal conductance,Tree height,Wood density
50,Inga ruiziana,Leguminosae,INGRUI,Santa Cecilia,8.754427,-82.982898,N-fixer,Animal (fleshy fruit),Fleshy fruit,,-0.2528,0.7589,1.1308,1.0614,0.8129,-0.5484,-0.0994,1.2592,0.4312,-0.8859,0.3206,-0.1667,0.866,0.221,-0.1254,0.7018,-0.3449,-0.5285
51,Inga ruiziana,Leguminosae,INGRUI,Finca Aguas Buenas,9.023306,-83.483773,N-fixer,Animal (fleshy fruit),Fleshy fruit,,-1.1401,1.4404,1.02,-0.2972,-1.0018,1.6504,-0.0279,1.3884,-0.0176,-0.9899,0.0693,1.0704,1.1079,0.3368,-1.8482,-0.9703,-1.1949,-0.0247
52,Inga sapindoides,Leguminosae,INGSAP,Finca Aguas Buenas,9.023306,-83.483773,N-fixer,Animal (fleshy fruit),Fleshy fruit,,-0.464,1.2537,1.02,-0.2972,-0.9466,1.5026,-0.1075,1.3782,-0.1074,-0.836,0.0225,1.0704,1.1737,0.2157,-1.9095,-1.1214,-0.7722,0.1198
53,Inga semialata,Leguminosae,INGSEM,Finca Aguas Buenas,9.023306,-83.483773,N-fixer,Animal (fleshy fruit),Fleshy fruit,,-0.8937,1.4497,1.02,-0.2972,-1.0141,1.68,-0.0185,1.3955,-0.0381,-0.9871,0.0902,1.0704,1.1183,0.3604,-1.7779,-1.0225,-1.1949,-0.0414
54,Inga skutchii,Leguminosae,INGSKU,Santa Cecilia,8.754427,-82.982898,N-fixer,Animal (fleshy fruit),Fleshy fruit,,-0.0893,0.7466,1.1308,1.0257,0.9105,-0.7393,-0.2067,1.2566,0.3252,-1.2434,0.1166,-0.4995,0.7982,0.2541,-0.0475,0.8837,-0.4812,0.0337
55,Inga spectabilis,Leguminosae,INGSPE,Santa Cecilia,8.754427,-82.982898,N-fixer,Animal (fleshy fruit),Fleshy fruit,,-0.2178,0.7546,1.1308,1.0614,0.5746,-0.4383,-0.3552,1.2601,0.1978,-0.409,0.1865,0.7954,0.7969,-0.3334,-0.0475,0.5455,0.106,-0.6328
56,Lacistema aggregatum,Lacistemataceae,LACAGG,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,-0.1539,-1.7407,-1.228,0.1906,-0.4374,-0.628,-0.6514,-0.8528,-0.8102,0.5613,-0.5613,-1.6443,-2.2869,-0.6618,1.3516,0.3028,0.7533,0.3905
57,Leucaena leucocephala,Leguminosae,LEULEU,Santa Cecilia,8.754427,-82.982898,N-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,0.1718,1.1283,1.1308,1.0614,0.8504,-0.3473,-0.2319,1.3587,0.3835,-1.3786,0.4916,-0.4995,0.7704,1.0848,-0.239,1.689,-0.4812,0.2718
58,Licania platypus,Chrysobalanaceae,LICPLA,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,0.1319,-0.4515,1.0414,1.7617,-0.5523,-0.4555,-1.8671,-1.3925,-1.681,1.012,-0.6057,-0.4714,-0.5763,-1.5308,0.7446,-0.254,1.1228,1.329
59,Licania platypus,Chrysobalanaceae,LICPLA,Finca Aguas Buenas,9.023306,-83.483773,Non-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,0.2891,-0.0843,-0.7573,0.0212,-2.0891,1.7336,-1.9289,-1.5732,-1.6912,1.4479,-1.4701,0.7893,0.5383,-1.3105,-0.472,-1.4277,0.1494,2.1493
