where,LAT,LON,raw_name,Genus,species,spp,nFix,dispersal,Fruit type,Wood density,Root depth,Root/shoot ratio,Leaf N per mass,Leaf P per mass,Stem diameter,Bark thickness,Seed dry mass,"Leaf resp. rate, per mass",Leaf K per mass,Stomatal conductance,Leaf thickness,Leaf density,Leaf N:P,Root N per mass,Leaf length,Leaf width,Leaf C/N,Leaf Vcmax per dry mass,Leaf Jmax per dry mass,Stem conduit diameter,Crown diameter,Leaf chlorophyll,Crown height,Root C/N,Wood N per mass,Tree height,Leaf area,Specific leaf area,Leaf water per mass
LG,8.700634,-83.203632,Platymiscium curuense,Platymiscium,curuense,Placur,nFix,other,Wind,-0.412975,1.704748,-0.992342,3.310582,0.266558,-0.771031,1.212767,4.343233,-4.015351,2.114879,5.178275,-1.679365,-1.137906,2.932814,2.310084,4.406774,1.407065,2.774956,-0.721425,-0.077586,3.843047,2.864725,-0.878277,2.639057,3.851443,1.872519,3.401373,9.050736,2.73832,0.566591
LG,8.700634,-83.203632,Posoqueria latifolia,Posoqueria,latifolia,Poslat,non-fixer,animal_fleshy,Fleshy fruit,-0.575502,1.519951,-0.856934,2.895761,-0.346788,-1.035637,1.054401,1.949558,-4.377801,2.174252,5.277493,-1.401609,-1.285781,3.020383,2.125253,4.636283,1.745969,3.300376,-0.962138,-0.085319,3.507057,2.363074,-0.893995,2.363116,3.960178,1.69003,2.833213,8.841889,2.543782,0.876454
LG,8.700634,-83.203632,Pterocarpus oficinalis,Pterocarpus,officinalis,Pteoff,nFix,other,Other,-0.492592,1.757858,-0.976252,3.339248,0.34381,-0.774685,1.291856,4.293527,-3.936515,2.178282,5.226755,-1.646235,-1.150255,2.925192,2.305033,4.444696,1.360305,2.725284,-0.711553,-0.067156,3.852767,2.65102,-0.881455,2.639057,3.846624,1.87931,3.488383,8.965739,2.710944,0.556756
LG,8.700634,-83.203632,Pterygota excelsa,Pterygota,excelsa,Pteexc,non-fixer,other,Wind,-0.896293,1.611418,-0.891426,3.089781,0.05181,-0.708326,1.771344,3.526553,-4.163658,2.223075,5.26161,-1.454598,-1.118824,2.903254,2.312064,4.532451,1.617582,3.142614,-0.751818,-0.166797,3.793874,2.646175,-0.867053,2.695301,3.923168,1.591615,3.543073,9.298522,2.536054,0.623166
LG,8.700634,-83.203632,Qualea paraensis,Qualea,paraensis,Quapar,non-fixer,other,Wind,-0.688943,1.466789,-0.827113,2.830465,-0.305715,-1.002121,1.365172,2.412735,-4.405639,2.121751,5.298412,-1.451568,-1.117074,3.045597,2.15091,4.484858,1.503991,3.256502,-0.85235,-0.095167,3.715176,2.381087,-0.866912,2.433613,3.911673,1.660227,3.401197,8.158068,2.501148,0.610527
LG,8.700634,-83.203632,Ruptiliocarpon caracolito,Ruptiliocarpon,caracolito,Rupcar,non-fixer,animal,Animal,-0.627464,1.671411,-0.817585,2.875957,-0.161348,-1.164113,1.213852,2.897091,-4.413539,2.276372,5.311017,-1.445653,-1.153853,2.984183,2.118181,4.487115,1.413472,3.219064,-0.87676,-0.122737,3.755504,2.336414,-0.826922,2.363116,3.910158,1.641383,2.944073,8.460923,2.582195,0.598288
LG,8.700634,-83.203632,Samanea saman,Albizia,saman,Albsam,nFix,animal,Animal,-0.532138,1.791759,-0.999414,3.395511,0.069838,-0.865122,1.095735,4.023204,-4.126986,1.93088,5.266268,-1.665701,-0.980021,3.243684,2.369486,4.365321,1.329989,2.757895,-0.78408,-0.069486,3.818863,2.524158,-0.825406,2.451087,3.930351,1.775988,2.995732,9.134583,2.611517,0.308072
LG,8.700634,-83.203632,Schizolobium parahyba,Schizolobium,parahyba,Schpar,non-fixer,other,Wind,-0.590654,1.609438,-0.970513,3.341155,0.20359,-0.860383,1.149432,3.793152,-4.131997,1.955495,5.252521,-1.725844,-1.092165,3.183675,2.327935,4.357155,1.350627,2.818201,-0.731779,-0.071532,3.841045,2.607391,-0.886005,2.639057,3.929725,1.761976,3.295837,9.238217,2.720447,0.511071
LG,8.700634,-83.203632,Simarouba glauca,Simarouba,amara,Simama,non-fixer,animal_fleshy,Fleshy fruit,-0.746499,1.648659,-0.757411,2.957987,0.016263,-0.991307,1.258851,3.654848,-4.230136,2.198069,5.284423,-1.490333,-1.153501,2.943929,2.233945,4.529582,1.393494,3.123434,-0.832792,-0.189777,3.752083,2.361076,-0.865441,2.24071,3.932155,1.435082,3.145151,8.804221,2.584409,0.605042
LG,8.700634,-83.203632,Spondias mombin,Spondias,mombin,Spomom,non-fixer,animal_fleshy,Fleshy fruit,-0.726604,1.648659,-0.769329,2.955778,-0.03068,-0.929111,1.422209,4.006138,-4.190751,2.156755,5.381729,-1.551589,-1.049953,2.895041,2.278727,4.491162,1.44206,3.19182,-0.832938,-0.25274,3.768598,2.381087,-0.86257,2.273559,3.928942,1.438766,3.329225,9.584324,2.579689,0.50216
